tenure,category,value,share,threshold
owners_with,Food,0.294659253,0.498212369,39067.91321
owners_with,Clothing,0.04423055,0.498212369,39067.91321
owners_with,Shelter,0.349273091,0.498212369,39067.91321
owners_with,Utilities,0.084443119,0.498212369,39067.91321
owners_with,Telephone,0.044270293,0.498212369,39067.91321
owners_with,Internet,0.0182972,0.498212369,39067.91321
owners_without,Food,0.353275296,0.089594779,32585.69801
owners_without,Clothing,0.053029255,0.089594779,32585.69801
owners_without,Shelter,0.202041621,0.089594779,32585.69801
owners_without,Utilities,0.119024758,0.089594779,32585.69801
owners_without,Telephone,0.053076903,0.089594779,32585.69801
owners_without,Internet,0.02193703,0.089594779,32585.69801
renters,Food,0.291950283,0.412192853,39430.4195
renters,Clothing,0.043823913,0.412192853,39430.4195
renters,Shelter,0.375228392,0.412192853,39430.4195
renters,Utilities,0.063693988,0.412192853,39430.4195
renters,Telephone,0.043863291,0.412192853,39430.4195
renters,Internet,0.018128983,0.412192853,39430.4195
